PVF ;#flips ;#SDCs ;Var name ;file ;line number
80.37383177570094;214;172;x0;newton_raphson_dup.cpp;30
32.97872340425532;188;62;h;newton_raphson.hpp;36
42.10526315789473;114;48;df_x_too_small;newton_raphson.hpp;53
39.49579831932773;119;47;currIter;newton_raphson.hpp;55
28.666666666666668;150;43;results1;newton_raphson_dup.cpp;43
38.18181818181819;110;42;x;newton_raphson.hpp;50
100.0;42;42;h;newton_raphson_hardned.hpp;73
100.0;42;42;df_x_too_small_copy;newton_raphson_hardned.hpp;92
100.0;39;39;currIter;newton_raphson_hardned.hpp;90
35.57692307692308;104;37;found_root;newton_raphson.hpp;54
31.775700934579437;107;34;h;newton_raphson.hpp;47
100.0;34;34;h_copy;newton_raphson_hardned.hpp;83
97.05882352941177;34;33;x;newton_raphson_hardned.hpp;76
100.0;32;32;currIter_copy;newton_raphson_hardned.hpp;94
88.57142857142857;35;31;df_x_too_small;newton_raphson_hardned.hpp;88
96.875;32;31;found_root_copy;newton_raphson_hardned.hpp;93
78.94736842105263;38;30;b;newton_raphson_hardned.hpp;12
22.137404580152673;131;29;f_x;newton_raphson.hpp;51
16.27906976744186;172;28;x;newton_raphson.hpp;35
13.19796954314721;197;26;x;newton_raphson_dup.cpp;13
92.85714285714286;28;26;x_copy;newton_raphson_hardned.hpp;77
87.5;24;21;found_root;newton_raphson_hardned.hpp;89
11.585365853658537;164;19;results2;newton_raphson_dup.cpp;45
24.0;75;18;results;newton_raphson_dup.cpp;28
51.42857142857142;35;18;f_copy;newton_raphson_hardned.hpp;80
56.25;32;18;a;newton_raphson_hardned.hpp;12
17.0;100;17;eps;newton_raphson.hpp;46
100.0;16;16;size;newton_raphson_dup.cpp;67
6.329113924050633;237;15;result;newton_raphson_dup.cpp;32
6.914893617021277;188;13;PI;newton_raphson_dup.cpp;16
100.0;12;12;i;newton_raphson_dup.cpp;68
10.909090909090908;110;12;delta;newton_raphson.hpp;46
5.347593582887701;187;10;A;newton_raphson_dup.cpp;15
36.0;25;9;sn;../sysdeps/ieee754/dbl-64/s_sin.c;221
6.2015503875969;129;8;df_x;newton_raphson.hpp;58
100.0;8;8;value;newton_raphson_dup.cpp;83
29.629629629629626;27;8;x;newton_raphson_hardned.hpp;55
17.391304347826086;46;8;x_copy;newton_raphson_hardned.hpp;58
22.58064516129032;31;7;f;newton_raphson_hardned.hpp;70
15.555555555555555;45;7;h;newton_raphson_hardned.hpp;56
15.0;40;6;f_x;newton_raphson_hardned.hpp;86
3.64963503649635;137;5;debug;newton_raphson.hpp;48
3.8461538461538463;130;5;x0;newton_raphson.hpp;44
100.0;4;4;__for_end;newton_raphson_dup.cpp;0
50.0;8;4;ccs;../sysdeps/ieee754/dbl-64/s_sin.c;247
6.25;64;4;__x;/usr/include/c++/7/bits/std_abs.h;70
100.0;3;3;__p;/usr/include/c++/7/ext/new_allocator.h;116
100.0;3;3;set;../sysdeps/unix/sysv/linux/raise.c;39
100.0;3;3;__for_begin;newton_raphson_dup.cpp;0
12.0;25;3;h_copy;newton_raphson_hardned.hpp;59
7.894736842105263;38;3;df_x;newton_raphson_hardned.hpp;99
100.0;2;2;__n;/usr/include/c++/7/bits/stl_vector.h;176
100.0;2;2;lock;abort.c;46
50.0;4;2;cs;../sysdeps/ieee754/dbl-64/s_sin.c;160
0.9433962264150944;212;2;f;newton_raphson.hpp;34
25.0;8;2;cs;../sysdeps/ieee754/dbl-64/s_sin.c;247
100.0;2;2;this;newton_raphson_dup.cpp;0
100.0;2;2;__p;/usr/include/c++/7/bits/stl_vector.h;176
100.0;2;2;__GI___abort_msg;abort.c;38
1.0101010101010102;99;1;maxIter;newton_raphson.hpp;46
100.0;1;1;stage;abort.c;43
4.545454545454546;22;1;mxcsr;../sysdeps/i386/fpu/fenv_private.h;444
100.0;1;1;__p;/usr/include/c++/7/bits/alloc_traits.h;461
20.0;5;1;sn;../sysdeps/ieee754/dbl-64/s_sin.c;247
33.33333333333333;3;1;x;../sysdeps/ieee754/dbl-64/s_sin.c;541
100.0;1;1;ap;../sysdeps/posix/libc_fatal.c;69
100.0;1;1;__for_range;newton_raphson_dup.cpp;0
1.8518518518518516;54;1;f;newton_raphson_hardned.hpp;54